LOCATION,SUBJECT,Value
AUS,25_54,81.88222
AUS,55_64,65.37649
AUT,15_24,50.125
AUT,25_54,83.825
AUT,55_64,55.4
BEL,15_24,24.75
BEL,25_54,80.75
BEL,55_64,54.45
CAN,15_24,55.23333
CAN,25_54,82.28333
CAN,55_64,62.66407
CZE,15_24,24.8
CZE,25_54,86.35
CZE,55_64,69.825
DNK,15_24,53.9
DNK,25_54,83.475
DNK,55_64,72.325
FIN,15_24,43.825
FIN,25_54,82.325
FIN,55_64,68.35
FRA,15_24,32.225
FRA,25_54,82.075
FRA,55_64,55.95
DEU,15_24,48.675
DEU,25_54,84.45
DEU,55_64,71.85
GRC,15_24,13.375
GRC,25_54,71.1
GRC,55_64,48.3
HUN,15_24,27.475
HUN,25_54,86.975
HUN,55_64,62.8
ISL,15_24,65.6
ISL,25_54,83.5
ISL,55_64,80.15
IRL,15_24,42.875
IRL,25_54,80.025
IRL,55_64,62.8
ITA,15_24,17.525
ITA,25_54,70.175
ITA,55_64,53.375
JPN,15_24,46.53971
JPN,25_54,85.99577
JPN,55_64,77.10837
KOR,15_24,27.05123
KOR,25_54,75.34994
KOR,55_64,66.3069
LUX,15_24,29.375
LUX,25_54,85.4
LUX,55_64,46.575
MEX,15_24,40.80938
MEX,25_54,71.27863
MEX,55_64,53.10433
NLD,15_24,71.7
NLD,25_54,85.95
NLD,55_64,71.425
NZL,15_24,58.04107
NZL,25_54,84.82195
NZL,55_64,77.94176
NOR,15_24,53.325
NOR,25_54,83.525
NOR,55_64,74.625
POL,15_24,27.35
POL,25_54,84.825
POL,55_64,54.65
PRT,15_24,22.8
PRT,25_54,85.325
PRT,55_64,63.375
SVK,15_24,20.8
SVK,25_54,83.15
SVK,55_64,60.65
ESP,15_24,20.575
ESP,25_54,75.375
ESP,55_64,55.75
SWE,15_24,40.675
SWE,25_54,84.775
SWE,55_64,76.875
CHE,15_24,59.6
CHE,25_54,86.35
CHE,55_64,72.3
TUR,15_24,32.25
TUR,25_54,60.225
TUR,55_64,33.575
GBR,15_24,52.4
GBR,25_54,84.4
GBR,55_64,64.775
USA,15_24,50.11889
USA,25_54,77.60513
USA,55_64,61.86636
CHL,15_24,21.27877
CHL,25_54,70.21568
CHL,55_64,57.34898
EST,15_24,33.55
EST,25_54,83.95
EST,55_64,71.65
ISR,15_24,39.85
ISR,25_54,77.79166
ISR,55_64,67.39167
SVN,15_24,29.625
SVN,25_54,88.3
SVN,55_64,52.7
ZAF,15_24,7.645674
ZAF,25_54,49.17752
ZAF,55_64,35.58696
OECD,15_24,41.07361
OECD,25_54,77.59305
OECD,55_64,61.29117
EA19,15_24,33.95
EA19,25_54,79.6
EA19,55_64,60.975
AUS,15_24,60.86858
COL,15_24,32.6125
COL,25_54,69.30917
COL,55_64,51.675
RUS,15_24,26.4414
RUS,25_54,87.65535
RUS,55_64,53.27119
LVA,15_24,27.9
LVA,25_54,80.35
LVA,55_64,67.775
LTU,15_24,31.15
LTU,25_54,84.275
LTU,55_64,68.025
CRI,15_24,27.41347
CRI,25_54,70.21696
CRI,55_64,51.55528
