LOCATION,SUBJECT,TIME,Value
NZL,UPPSRY_NTRY,1981,80.579987
NZL,UPPSRY_NTRY,1990,75.055901
NZL,UPPSRY_NTRY,1991,73.311836
NZL,UPPSRY_NTRY,1992,73.091179
NZL,UPPSRY_NTRY,1994,79.132454
NZL,UPPSRY_NTRY,1995,81.755188
NZL,UPPSRY_NTRY,1997,80.148605
NZL,UPPSRY_NTRY,1998,79.085892
NZL,UPPSRY_NTRY,1999,79.709686
NZL,UPPSRY_NTRY,2000,80.012154
NZL,UPPSRY_NTRY,2001,80.18084
NZL,UPPSRY_NTRY,2002,81.208153
NZL,UPPSRY_NTRY,2003,81.359337
NZL,UPPSRY_NTRY,2004,82.676079
NZL,UPPSRY_NTRY,2005,84.239845
NZL,UPPSRY_NTRY,2006,84.23645
NZL,UPPSRY_NTRY,2007,84.633499
NZL,UPPSRY_NTRY,2008,83.333336
NZL,UPPSRY_NTRY,2009,82.433228
NZL,UPPSRY_NTRY,2010,82.047951
NZL,UPPSRY_NTRY,2011,82.064568
NZL,UPPSRY_NTRY,2012,81.329849
NZL,UPPSRY_NTRY,2013,81.130272
NZL,UPPSRY_NTRY,2014,80.34404
NZL,UPPSRY_NTRY,2015,81.348915
NZL,UPPSRY_NTRY,2016,82.106155
NZL,UPPSRY_NTRY,2017,82.556374
NZL,UPPSRY_NTRY,2018,83.478004
NZL,UPPSRY_NTRY,2019,82.946716
NZL,UPPSRY_NTRY,2020,81.819893
NZL,UPPSRY_NTRY,2021,83.292053
GBR,TRY,1997,87.203308
GBR,TRY,1998,87.075378
GBR,TRY,1999,87.732735
GBR,TRY,2000,87.755997
GBR,TRY,2001,88.175331
GBR,TRY,2002,87.619789
GBR,TRY,2003,87.833679
GBR,TRY,2004,87.675697
GBR,TRY,2005,88.04351
GBR,TRY,2006,87.540085
GBR,TRY,2007,87.376877
GBR,TRY,2008,84.997505
GBR,TRY,2009,84.541405
GBR,TRY,2010,84.20475
GBR,TRY,2011,83.184135
GBR,TRY,2012,84.065559
GBR,TRY,2013,84.7882
GBR,TRY,2014,84.583046
GBR,TRY,2015,85.386436
GBR,TRY,2016,85.069305
GBR,TRY,2017,85.466637
GBR,TRY,2018,86.119209
GBR,TRY,2019,86.628654
GBR,TRY,2020,86.339325
GBR,TRY,2021,86.314072
CHE,BUPPSRY,1989,69.53299
CHE,BUPPSRY,1991,71.32328
CHE,BUPPSRY,1992,69.190521
CHE,BUPPSRY,1994,67.921509
CHE,BUPPSRY,1995,67.379211
CHE,BUPPSRY,1997,67.969604
CHE,BUPPSRY,1998,68.779854
CHE,BUPPSRY,1999,68.331108
CHE,BUPPSRY,2000,64.46402
CHE,BUPPSRY,2001,69.605507
CHE,BUPPSRY,2002,68.221146
CHE,BUPPSRY,2003,66.255959
CHE,BUPPSRY,2004,65.375191
CHE,BUPPSRY,2005,65.251854
CHE,BUPPSRY,2006,64.473915
CHE,BUPPSRY,2007,65.966141
CHE,BUPPSRY,2008,67.624359
CHE,BUPPSRY,2009,67.486542
CHE,BUPPSRY,2010,66.138481
CHE,BUPPSRY,2011,66.620018
CHE,BUPPSRY,2012,66.815224
CHE,BUPPSRY,2013,67.016556
CHE,BUPPSRY,2014,67.452423
CHE,BUPPSRY,2015,67.571083
CHE,BUPPSRY,2016,67.597321
CHE,BUPPSRY,2017,67.160423
CHE,BUPPSRY,2018,68.587822
CHE,BUPPSRY,2019,68.791687
CHE,BUPPSRY,2020,69.120865
CHE,BUPPSRY,2021,66.632103
TUR,TRY,1991,86.973473
TUR,TRY,1992,86.55246
TUR,TRY,1994,85.289635
TUR,TRY,1995,74.10321
TUR,TRY,1997,81.67852
TUR,TRY,1998,81.317764
TUR,TRY,1999,78.97081
TUR,TRY,2000,78.475754
TUR,TRY,2001,78.274338
TUR,TRY,2002,76.289063
TUR,TRY,2003,74.85836
TUR,TRY,2004,74.467293
TUR,TRY,2005,75.22998
TUR,TRY,2006,74.509804
TUR,TRY,2007,74.605957
TUR,TRY,2008,74.540611
TUR,TRY,2009,73.554733
TUR,TRY,2010,75.710953
TUR,TRY,2011,76.067108
TUR,TRY,2012,76.171501
TUR,TRY,2013,76.977776
TUR,TRY,2014,76.13636
TUR,TRY,2015,76.161552
TUR,TRY,2016,75.003456
TUR,TRY,2017,75.208984
TUR,TRY,2018,74.325996
TUR,TRY,2019,73.619423
TUR,TRY,2021,72.292519
NLD,TRY,1990,81.381577
NLD,TRY,1991,84.629982
NLD,TRY,1992,83.742691
NLD,TRY,1994,81.879196
NLD,TRY,1995,82.849464
NLD,TRY,1998,85.355453
NLD,TRY,2000,86.283089
NLD,TRY,2001,86.321892
NLD,TRY,2002,86.45549
NLD,TRY,2003,85.877647
NLD,TRY,2004,85.337799
NLD,TRY,2005,85.622635
NLD,TRY,2006,86.380783
NLD,TRY,2007,87.731361
NLD,TRY,2008,88.308357
NLD,TRY,2009,88.052246
NLD,TRY,2010,87.521606
NLD,TRY,2011,87.23703
NLD,TRY,2012,87.643303
NLD,TRY,2013,87.976959
NLD,TRY,2014,87.658478
NLD,TRY,2015,88.234077
NLD,TRY,2016,88.424866
NLD,TRY,2017,88.830811
NLD,TRY,2018,89.607353
NLD,TRY,2019,89.671005
NLD,TRY,2020,89.500687
NLD,TRY,2021,89.027794
GRC,UPPSRY_NTRY,1987,61.616737
GRC,UPPSRY_NTRY,1988,61.868504
GRC,UPPSRY_NTRY,1989,62.205051
GRC,UPPSRY_NTRY,1990,63.353134
GRC,UPPSRY_NTRY,1991,62.71814
GRC,UPPSRY_NTRY,1992,62.721313
GRC,UPPSRY_NTRY,1993,62.319134
GRC,UPPSRY_NTRY,1994,62.40609
GRC,UPPSRY_NTRY,1995,63.395378
GRC,UPPSRY_NTRY,1996,63.955868
GRC,UPPSRY_NTRY,1997,64.180321
GRC,UPPSRY_NTRY,1998,65.684105
GRC,UPPSRY_NTRY,1999,64.562759
GRC,UPPSRY_NTRY,2000,64.586845
GRC,UPPSRY_NTRY,2001,65.132828
GRC,UPPSRY_NTRY,2002,65.38813
GRC,UPPSRY_NTRY,2003,66.923561
GRC,UPPSRY_NTRY,2004,68.190277
GRC,UPPSRY_NTRY,2005,68.716469
GRC,UPPSRY_NTRY,2006,69.702591
GRC,UPPSRY_NTRY,2007,69.457176
GRC,UPPSRY_NTRY,2008,69.799133
GRC,UPPSRY_NTRY,2009,68.413803
GRC,UPPSRY_NTRY,2010,66.384895
GRC,UPPSRY_NTRY,2011,61.992165
GRC,UPPSRY_NTRY,2012,57.122643
